,pair,correlation,same_sector,same_kmeans,mean_reverting,growth_differential
517,"('AMGN', 'RVTY')",0.8244189015624412,0,1,False,-0.0030015782716495965
518,"('AMGN', 'TECH')",0.8258108914858112,0,1,False,0.011777533058847508
519,"('AMGN', 'UHS')",0.502238002792062,0,1,False,-0.012609304085727852
520,"('AMGN', 'INCY')",-0.1689287208169606,0,0,False,-0.026584399665216668
521,"('AMGN', 'CRL')",0.7653719967651564,0,0,False,-0.029605898624130593
522,"('AMGN', 'HSIC')",0.742393081073785,0,0,False,-0.012776109975088787
523,"('AMGN', 'TFX')",0.6848598617929964,0,1,False,-0.006722692562890311
524,"('AMGN', 'DVA')",0.5873432824699073,0,0,False,0.006131966526516005
525,"('PFE', 'SYK')",0.8067195218813388,0,0,False,0.043041773187478434
526,"('PFE', 'BSX')",0.7762747425762191,0,0,False,0.04222896253448662
527,"('PFE', 'BMY')",0.749512521730994,1,1,False,0.07864852723655688
528,"('PFE', 'VRTX')",0.7036081891047163,0,0,False,0.029358820780211577
529,"('PFE', 'GILD')",-0.06672544661661749,1,1,False,0.07443381385901446
530,"('PFE', 'MDT')",0.6934028640259711,0,1,False,0.08543725760491201
531,"('PFE', 'ELV')",0.904424126149752,0,0,False,0.04529261713423164
532,"('PFE', 'CI')",0.8023984806853776,0,0,False,0.06291517510539568
533,"('PFE', 'REGN')",0.6129857455260423,0,0,False,0.004723968691827132
534,"('PFE', 'MCK')",0.5175329168544446,0,0,False,0.08543725760491201
535,"('PFE', 'ZTS')",0.8537669245579703,0,0,False,0.05638567838216335
536,"('PFE', 'CVS')",0.4915264098791808,0,1,False,0.0520463121907696
537,"('PFE', 'BDX')",0.7952683785630928,0,1,False,0.08399722483537708
538,"('PFE', 'HCA')",0.8434923036204919,0,0,False,0.05833680882569116
539,"('PFE', 'COR')",0.6769539247011016,0,0,False,0.061680658088690846
540,"('PFE', 'EW')",0.8812467779909482,0,0,False,0.047970270681822615
541,"('PFE', 'A')",0.8798850841234902,0,0,False,0.05598388759451717
542,"('PFE', 'RMD')",0.8815042074537922,0,0,False,0.08543725760491201
543,"('PFE', 'IDXX')",0.8079819336535903,0,0,False,0.049614212134291055
544,"('PFE', 'HUM')",0.8435197840525952,0,0,False,0.047654235276713315
545,"('PFE', 'IQV')",0.8966898454625702,0,0,False,0.05211756877918901
