pair,adf_pvalue,johansen_stat,johansen_crit,adf_stationary,johansen_stationary,mean_reverting
"('ABBV', 'STE')",0.22686624910977354,6.755777031793748,15.4943,False,False,False
"('ABBV', 'COO')",0.48475360434295345,5.450729797526445,15.4943,False,False,False
"('ABBV', 'LH')",0.09702190417613327,10.105555205380996,15.4943,False,False,False
"('ABBV', 'PODD')",0.5039239244317512,5.808721029806857,15.4943,False,False,False
"('ABBV', 'HOLX')",0.11282326682741256,9.290707782754314,15.4943,False,False,False
"('ABBV', 'DGX')",0.04250758718580362,12.259421016582417,15.4943,True,False,False
"('ABBV', 'MOH')",0.01527929262904876,12.283788563852546,15.4943,True,False,False
"('ABBV', 'BAX')",0.983041472216594,8.475017705052025,15.4943,False,False,False
"('ABBV', 'ALGN')",0.9264289652786323,4.634274257564671,15.4943,False,False,False
"('ABBV', 'VTRS')",0.2947561961043387,6.477576571236399,15.4943,False,False,False
"('ABBV', 'RVTY')",0.8402304550417252,6.555250544195135,15.4943,False,False,False
"('ABBV', 'TECH')",0.6836549309018112,5.017574596737794,15.4943,False,False,False
"('ABBV', 'UHS')",0.6104638352968021,14.184386419628256,15.4943,False,False,False
"('ABBV', 'INCY')",0.6526418271542747,11.596494084089978,15.4943,False,False,False
"('ABBV', 'CRL')",0.7411969332842415,5.374750405997013,15.4943,False,False,False
"('ABBV', 'HSIC')",0.09926528280149832,15.012994541885494,15.4943,False,False,False
"('ABBV', 'TFX')",0.9609976622674126,5.180543821427906,15.4943,False,False,False
"('ABBV', 'DVA')",0.5137193710515852,7.502317105563889,15.4943,False,False,False
"('MRK', 'ABT')",0.602640127189926,3.038884416841218,15.4943,False,False,False
"('MRK', 'TMO')",0.4568003413621934,3.8345252143325963,15.4943,False,False,False
"('MRK', 'ISRG')",0.3111842883148911,5.438383297873837,15.4943,False,False,False
"('MRK', 'DHR')",0.5200626779548116,3.431164218768579,15.4943,False,False,False
"('MRK', 'AMGN')",0.052998059551316874,9.12075447833187,15.4943,False,False,False
"('MRK', 'PFE')",0.9708314799289496,6.664675345835477,15.4943,False,False,False
"('MRK', 'SYK')",0.15298154003130254,8.682719142362403,15.4943,False,False,False
"('MRK', 'BSX')",0.20770452628130326,9.223682958947593,15.4943,False,False,False
"('MRK', 'BMY')",0.8808063565771289,7.209857482801497,15.4943,False,False,False
"('MRK', 'VRTX')",0.015146912272926267,10.481814303744551,15.4943,True,False,False
"('MRK', 'GILD')",0.9337085401452204,7.053304953064199,15.4943,False,False,False
"('MRK', 'MDT')",0.9716218521984491,4.375462477329915,15.4943,False,False,False
"('MRK', 'ELV')",0.11893569565071965,10.993565230476051,15.4943,False,False,False
"('MRK', 'CI')",0.10804150016963493,9.86666287432134,15.4943,False,False,False
"('MRK', 'REGN')",0.22000559547964837,5.939329412362793,15.4943,False,False,False
"('MRK', 'MCK')",0.34474436879943293,6.058101676041262,15.4943,False,False,False
"('MRK', 'ZTS')",0.45234920283858704,4.105367263148039,15.4943,False,False,False
"('MRK', 'CVS')",0.9452029698852076,6.167248351649494,15.4943,False,False,False
"('MRK', 'BDX')",0.7947513019271957,6.004999054128541,15.4943,False,False,False
"('MRK', 'HCA')",0.17710624531611996,8.627898612163381,15.4943,False,False,False
"('MRK', 'COR')",0.26405478554871376,5.418712387941363,15.4943,False,False,False
"('MRK', 'EW')",0.8874452127349216,3.7368881825031743,15.4943,False,False,False
"('MRK', 'A')",0.5150269844634058,4.143682235820545,15.4943,False,False,False
"('MRK', 'RMD')",0.7829986001254852,3.4862284217225503,15.4943,False,False,False
"('MRK', 'IDXX')",0.4850016575716498,3.585315571306501,15.4943,False,False,False
"('MRK', 'HUM')",0.1618962273955203,9.008786173136984,15.4943,False,False,False
"('MRK', 'IQV')",0.3715912580108474,4.943979248898162,15.4943,False,False,False
"('MRK', 'DXCM')",0.2166214321563968,5.640864563376721,15.4943,False,False,False
"('MRK', 'CNC')",0.6773374254398161,7.400637885602993,15.4943,False,False,False
"('MRK', 'CAH')",0.7003937311062489,3.629584837182461,15.4943,False,False,False
"('MRK', 'MTD')",0.674729800654697,3.8045036571902715,15.4943,False,False,False
"('MRK', 'BIIB')",0.42226106787550527,21.438520265271702,15.4943,False,True,False
"('MRK', 'WST')",0.44653760732224346,3.983935455219778,15.4943,False,False,False
"('MRK', 'WAT')",0.5146677392117268,5.424176591017556,15.4943,False,False,False
"('MRK', 'ZBH')",0.7032371751341404,10.750540195310917,15.4943,False,False,False
"('MRK', 'STE')",0.33384078051411725,5.753574218431941,15.4943,False,False,False
"('MRK', 'COO')",0.521798094160038,5.537439238192718,15.4943,False,False,False
"('MRK', 'LH')",0.32477394959041306,4.536026356991585,15.4943,False,False,False
"('MRK', 'PODD')",0.4671900314848945,4.361600725950454,15.4943,False,False,False
"('MRK', 'HOLX')",0.5232444305655928,7.568747931295502,15.4943,False,False,False
"('MRK', 'DGX')",0.26315567303085335,7.101443363711448,15.4943,False,False,False
"('MRK', 'MOH')",0.10493988856442388,8.662714938149772,15.4943,False,False,False
"('MRK', 'BAX')",0.9894805907548802,5.057566766102695,15.4943,False,False,False
"('MRK', 'ALGN')",0.9198640337422501,2.471696397578414,15.4943,False,False,False
"('MRK', 'VTRS')",0.126745005445759,8.67069743222326,15.4943,False,False,False
"('MRK', 'RVTY')",0.8949123070981015,3.5730458162224297,15.4943,False,False,False
"('MRK', 'TECH')",0.8320303931320949,3.021281312946724,15.4943,False,False,False
"('MRK', 'UHS')",0.5094783167854058,14.82260864211494,15.4943,False,False,False
"('MRK', 'INCY')",0.7026855883213221,11.616613272121072,15.4943,False,False,False
"('MRK', 'CRL')",0.8757184399450602,2.3874459563127592,15.4943,False,False,False
"('MRK', 'HSIC')",0.18945351810344913,14.018320790482573,15.4943,False,False,False
"('MRK', 'TFX')",0.9740194464273533,3.2705610447811204,15.4943,False,False,False
"('MRK', 'DVA')",0.729589174563642,5.461286238276785,15.4943,False,False,False
"('ABT', 'TMO')",0.09419961566481405,11.880323003176121,15.4943,False,False,False
"('ABT', 'ISRG')",0.02970669053446941,13.210333751534552,15.4943,True,False,False
"('ABT', 'DHR')",0.018393104842284833,11.646074519171515,15.4943,True,False,False
"('ABT', 'AMGN')",0.10673762933543285,8.793932781349032,15.4943,False,False,False
"('ABT', 'PFE')",0.7044984836560991,6.2153596275848715,15.4943,False,False,False
"('ABT', 'SYK')",0.23036089271802201,7.663481583125659,15.4943,False,False,False
"('ABT', 'BSX')",0.519758390087331,4.4289721209197275,15.4943,False,False,False
"('ABT', 'BMY')",0.5283472949863972,9.007608086094113,15.4943,False,False,False
"('ABT', 'VRTX')",0.6084135224978084,3.0391640007019105,15.4943,False,False,False
"('ABT', 'GILD')",0.8177932776990581,7.483362486025761,15.4943,False,False,False
"('ABT', 'MDT')",0.5544468297258419,7.96581174938489,15.4943,False,False,False
"('ABT', 'ELV')",0.1799842586018483,8.758500643184192,15.4943,False,False,False
"('ABT', 'CI')",0.25968006354814155,6.029185885636957,15.4943,False,False,False
"('ABT', 'REGN')",0.5081353581923455,3.4628111962473294,15.4943,False,False,False
"('ABT', 'MCK')",0.611550073210389,8.630413209624933,15.4943,False,False,False
"('ABT', 'ZTS')",0.0012762191991304653,21.190130110858526,15.4943,True,True,True
"('ABT', 'CVS')",0.8171867928086081,9.606880033675681,15.4943,False,False,False
"('ABT', 'BDX')",0.32953179267873633,8.199587827588626,15.4943,False,False,False
"('ABT', 'HCA')",0.43185332093124507,7.663944056465234,15.4943,False,False,False
"('ABT', 'COR')",0.7399365845550101,3.6903996801389645,15.4943,False,False,False
"('ABT', 'EW')",0.07400504305260965,12.036344291695293,15.4943,False,False,False
"('ABT', 'A')",0.05759267779617377,8.93487883229775,15.4943,False,False,False
"('ABT', 'RMD')",0.00021294615816989937,13.941430793238373,15.4943,True,False,False
"('ABT', 'IDXX')",0.01796263428090683,10.926137560228655,15.4943,True,False,False
"('ABT', 'HUM')",0.02960096635364584,12.294404961505089,15.4943,True,False,False
"('ABT', 'IQV')",0.0008798883022149103,20.06038388480855,15.4943,True,True,True
"('ABT', 'DXCM')",0.018158293711834174,11.199232990524603,15.4943,True,False,False
"('ABT', 'CNC')",0.15084604459020984,9.939410032738396,15.4943,False,False,False
"('ABT', 'CAH')",0.7930303612916485,3.207669747536826,15.4943,False,False,False
"('ABT', 'MTD')",0.12749525819034385,9.738045777002966,15.4943,False,False,False
"('ABT', 'BIIB')",0.31221053224491624,25.669870182354458,15.4943,False,True,False
"('ABT', 'WST')",0.07415997854104801,7.823733426205587,15.4943,False,False,False
"('ABT', 'WAT')",0.12469809444473795,9.51595623347538,15.4943,False,False,False
"('ABT', 'ZBH')",0.17008319323176835,14.46799742928814,15.4943,False,False,False
"('ABT', 'STE')",0.00032158998317135976,23.648079640500434,15.4943,True,True,True
"('ABT', 'COO')",0.016874842965197038,16.26985367777974,15.4943,True,True,True
"('ABT', 'LH')",0.06994982074672923,10.793108369875489,15.4943,False,False,False
"('ABT', 'PODD')",0.006265544056329686,16.03325650867999,15.4943,True,True,True
"('ABT', 'HOLX')",0.06474550014179481,11.66674711075008,15.4943,False,False,False
"('ABT', 'DGX')",0.05974155655516987,10.281331984249558,15.4943,False,False,False
"('ABT', 'MOH')",0.16955795716937833,6.09690733385778,15.4943,False,False,False
"('ABT', 'BAX')",0.9785967595100878,4.928428336707287,15.4943,False,False,False
"('ABT', 'ALGN')",0.5317432055651548,5.352066311343398,15.4943,False,False,False
"('ABT', 'VTRS')",0.006940338088619334,13.355341188267671,15.4943,True,False,False
"('ABT', 'RVTY')",0.03787384220492659,9.844633654241038,15.4943,True,False,False
"('ABT', 'TECH')",0.08324785690683434,12.205951221606192,15.4943,False,False,False
"('ABT', 'UHS')",0.31390713673261655,15.805522588859208,15.4943,False,True,False
"('ABT', 'INCY')",0.5520349343755107,12.383875090534602,15.4943,False,False,False
"('ABT', 'CRL')",0.15356096477224362,6.952144397603645,15.4943,False,False,False
"('ABT', 'HSIC')",0.12145133972426692,15.141891458028665,15.4943,False,False,False
"('ABT', 'TFX')",0.8649454971536615,7.470806056925755,15.4943,False,False,False
"('ABT', 'DVA')",0.20396397345538142,10.31759406036015,15.4943,False,False,False
"('TMO', 'ISRG')",0.11768277302552305,10.963894433682631,15.4943,False,False,False
"('TMO', 'DHR')",0.015077955415814661,14.991258853379453,15.4943,True,False,False
"('TMO', 'AMGN')",0.07795045350274132,10.386580942089706,15.4943,False,False,False
"('TMO', 'PFE')",0.537075613585296,6.0710542781695285,15.4943,False,False,False
"('TMO', 'SYK')",0.22518846273708387,8.302247982566207,15.4943,False,False,False
"('TMO', 'BSX')",0.4595075274468049,4.418819711326388,15.4943,False,False,False
