Date,ABBV,ABT,AMGN,BMY,BSX,DHR,ISRG,JNJ,LLY,MRK,PFE,SYK,TMO,UNH,VRTX
2016-06-02,45.34625244140625,33.77925491333008,124.29177856445312,55.40138244628906,22.989999771118164,40.97261047363281,71.04888916015625,90.74295806884766,64.90931701660156,41.994659423828125,23.490692138671875,102.25271606445312,150.01426696777344,119.70104217529297,95.81999969482422
2016-06-03,45.283565521240234,33.48017120361328,123.76313018798828,55.31791305541992,22.799999237060547,40.82722473144531,70.76000213623047,90.95696258544922,64.61683654785156,41.861629486083984,23.36944007873535,103.0695571899414,149.34994506835938,120.40496063232422,93.95999908447266
2016-06-06,43.76482391357422,33.47162628173828,124.54052734375,56.38040542602539,22.75,41.13460922241211,70.62444305419922,91.75746154785156,64.37599182128906,42.25334167480469,23.53111457824707,103.04232025146484,149.6626434326172,121.55762481689453,96.08999633789062
2016-06-07,43.95989227294922,33.26655578613281,123.52984619140625,56.09201431274414,22.6299991607666,41.30906677246094,70.6544418334961,91.72575378417969,64.25553131103516,42.12770462036133,23.470481872558594,102.18915557861328,149.1741180419922,120.49292755126953,94.7699966430664
2016-06-08,43.00545120239258,33.249454498291016,122.83795166015625,55.71254348754883,22.799999237060547,41.603973388671875,71.43111419677734,91.78124237060547,64.43620300292969,42.585933685302734,23.74669075012207,103.73212432861328,150.5907440185547,123.53734588623047,94.58999633789062
2016-06-09,42.322715759277344,33.215274810791016,121.8894271850586,55.19647979736328,23.31999969482422,41.69952392578125,72.02222442626953,92.73233032226562,64.02328491210938,42.260738372802734,23.787113189697266,104.67606353759766,150.6004638671875,123.78374481201172,92.48999786376953
2016-06-10,42.49687576293945,32.81364822387695,120.33454132080078,55.13578414916992,23.020000457763672,41.25090789794922,71.28778076171875,92.74028778076172,63.61040496826172,41.98727798461914,23.773639678955078,103.97718811035156,148.30455017089844,122.51669311523438,91.48999786376953
2016-06-13,41.75144577026367,32.352203369140625,119.01284790039062,54.80942153930664,22.950000762939453,40.744144439697266,71.56666564941406,92.5658950805664,63.532981872558594,41.80844497680664,23.403120040893555,103.86824035644531,147.19955444335938,121.50484466552734,90.54000091552734
2016-06-14,41.73054885864258,32.181297302246094,118.94290161132812,55.47727584838867,22.93000030517578,40.98092269897461,71.66555786132812,92.82745361328125,63.92867660522461,41.912757873535156,23.571533203125,104.75773620605469,144.7155303955078,121.31121063232422,91.37000274658203
2016-06-15,42.07888412475586,31.984760284423828,118.09548950195312,55.07505798339844,22.799999237060547,40.794010162353516,71.67888641357422,92.26471710205078,63.403968811035156,41.79355239868164,23.436805725097656,103.77749633789062,144.15809631347656,121.32447052001953,90.83999633789062
2016-06-16,42.427215576171875,32.044578552246094,118.40644836425781,54.437557220458984,22.829999923706055,41.15121078491211,71.50333404541016,92.44700622558594,63.868473052978516,42.844154357910156,23.409854888916016,104.0316390991211,143.98208618164062,122.56196594238281,90.41000366210938
2016-06-17,41.80717849731445,31.950580596923828,116.32282257080078,53.63309860229492,22.489999771118164,40.607078552246094,71.304443359375,91.52762603759766,63.532981872558594,41.644527435302734,23.052820205688477,103.81378936767578,143.01388549804688,121.7045669555664,86.7300033569336
2016-06-20,41.8768424987793,32.258209228515625,117.1236801147461,53.85319900512695,22.850000381469727,41.01413345336914,72.0088882446289,92.36776733398438,63.034080505371094,41.8307991027832,23.241445541381836,105.36582946777344,145.096923828125,122.43824005126953,86.72000122070312
2016-06-21,41.78628921508789,32.241119384765625,116.16740417480469,54.07327651977539,22.760000228881836,41.13460922241211,71.68555450439453,92.08242797851562,62.42335891723633,41.912757873535156,23.409854888916016,105.70166778564453,145.625,122.14651489257812,85.27999877929688
2016-06-22,42.0719108581543,33.104190826416016,116.47055053710938,54.87771987915039,22.65999984741211,41.138755798339844,72.38333129882812,92.30435180664062,62.853458404541016,42.501399993896484,23.221229553222656,105.84686279296875,146.54434204101562,121.89019012451172,85.22000122070312
