,pair,correlation,same_sector,same_kmeans_3,same_kmeans_6,mean_reverting,keyword_overlap,growth_diff
1249,"('ELV', 'DGX')",0.9333349906908333,0,0,0,False,28,0.040653153177934075
1250,"('ELV', 'MOH')",0.9734660032858261,1,0,0,False,26,-0.03171763319482047
1251,"('ELV', 'HOLX')",0.9160247090852871,0,0,0,False,28,0.07434461755035188
1252,"('ELV', 'ALGN')",0.6717141622324801,0,0,0,False,29,-0.024078956614698242
1253,"('ELV', 'UTHR')",0.7428354004029001,0,0,0,False,28,-0.013983254507749149
1254,"('ELV', 'BAX')",0.4309824506909993,0,0,0,False,28,0.011701621848336709
1255,"('ELV', 'VTRS')",-0.8600542785291725,0,0,0,False,28,0.0006895719332958988
1256,"('ELV', 'RVTY')",0.8771117864225587,0,0,0,False,30,0.025365529140183266
1257,"('ELV', 'THC')",0.5868709942904481,0,0,0,False,27,0.022334598242232506
1258,"('ELV', 'NBIX')",0.7872416920996788,0,0,0,False,30,-0.0337150639215685
1259,"('ELV', 'BMRN')",-0.019768082042669492,0,0,0,False,29,0.008828244231465956
1260,"('ELV', 'INCY')",-0.27533928743034725,0,0,0,False,30,0.001782707746616194
1261,"('ELV', 'SRPT')",0.6433527718929916,0,0,0,False,28,-0.06668290332213575
1262,"('ELV', 'TECH')",0.8690730893585568,0,1,1,False,29,0.04014464047068037
1263,"('ELV', 'EXAS')",0.5744802637814652,0,0,0,False,27,-0.022488860072757154
1264,"('ELV', 'UHS')",0.49904607971325465,0,0,0,False,25,0.015757803326105012
1265,"('ELV', 'EXEL')",0.5496133993034937,0,0,0,False,30,-0.038946339917502244
1266,"('ELV', 'EHC')",0.8459077894296092,0,0,0,False,29,0.0053686958614642954
1267,"('ELV', 'CRL')",0.788226703707818,0,1,1,False,27,-0.001238791212297731
1268,"('ELV', 'QGEN')",0.852194360831462,0,0,0,False,27,0.03206953975155702
1269,"('ELV', 'GMED')",0.8703735289971388,0,0,0,False,29,-0.050441961866019965
1270,"('ELV', 'HSIC')",0.7987998396307997,0,0,0,True,27,0.015590997436744077
1271,"('ELV', 'TFX')",0.5950394051034344,0,0,0,False,27,0.021644414848942552
1272,"('ELV', 'CHE')",0.9139377783299211,0,1,0,False,27,0.030442058557786426
